example_id	stem_id	example_form	example_GermanTranslation	example_variant	example_GermanTranslationVariant	example_etymological_form	example_etymological_language_donor	example_loanword_form	example_loanword_language_donor	example_source_form	example_source_form_homonymID	example_crossref	example_remark	example_complete	example_dialect_variant	create_by	create_date	update_by	update_date
10_1683773149_0	10_1683773149	kikobu	rösten, braten	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-11 02:45:49	NULL	NULL
10_1683773886_0	10_1683773886	kikode	auf der Schulter tragen	kadode; karode; kabadode u-	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-11 02:58:06	NULL	NULL
10_1683773886_1	10_1683773886	dakubode	sie tragen auf der Schulter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-11 02:58:06	NULL	NULL
10_1683773886_2	10_1683773886	ʔobukodeaʔa	tragtǃ	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-11 02:58:06	NULL	NULL
10_1683773886_3	10_1683773886	kidikode	getragen werden	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-11 02:58:06	NULL	NULL
10_1683773886_4	10_1683773886	eadode	d Tragen	ealole	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-11 02:58:06	NULL	NULL
10_1683773886_5	10_1683773886	ekodea	Tragstange (Joch?)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-11 02:58:06	NULL	NULL
10_1683773886_6	10_1683773886	edikode	d Getragene	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-11 02:58:06	NULL	NULL
10_1683773886_7	10_1683773886	eokode	Tragemittel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-11 02:58:06	NULL	NULL
10_1683775703_0	10_1683775703	kipakodíʔa:o	tauschen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-11 03:28:23	NULL	NULL
10_1683776956_0	10_1683776956	kikodo	(ver)schlucken	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-11 03:49:16	NULL	NULL
10_1683776956_1	10_1683776956	kadodo	etwas schlucken	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-11 03:49:16	NULL	NULL
10_1683776956_2	10_1683776956	hoo bukodo	schluckte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-11 03:49:16	NULL	NULL
10_1683776956_3	10_1683776956	ʔuadodo (iʔioo) uʔubéʔe	ich schlucke Arznei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-11 03:49:16	NULL	NULL
10_1683776956_4	10_1683776956	kabadodo	etwas verschlucken	kakubdo; kabukodo	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-11 03:49:16	NULL	NULL
10_1683776956_5	10_1683776956	ekodoho	d zu Schluckende	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-11 03:49:16	NULL	NULL
10_1683776956_6	10_1683776956	ekodəa	d Schlucken, Verschluckensort	eadədəa; ekədəa; ekərəa	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-11 03:49:16	NULL	NULL
10_1683776956_7	10_1683776956	eabadodo	das (Ver)Schlucken	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-11 03:49:16	NULL	NULL
10_1683776956_8	10_1683776956	edikodo	d Verschluckte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-11 03:49:16	NULL	NULL
10_1683777395_0	10_1683777395	kikodóki	sie verwendet als Schurz (trockene Bananenblätter)	NA	NA	NA	NA	NA	NA	NA	NA	G69	NA	y	NA	10	2023-05-11 03:56:35	NULL	NULL
10_1683777395_1	10_1683777395	eʔokodo	Frauenschurz (aus Glasperlen)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-11 03:56:35	NULL	NULL
10_1683777395_2	10_1683777395	kaʔokodo	solch einen Schurz tragen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-11 03:56:35	NULL	NULL
10_1683777605_0	10_1683777605	ʔakodu; ʔakoru; ʔakolu	drei	NA	NA	NA	NA	NA	NA	NA	NA	§ 33	NA	y	NA	10	2023-05-11 04:00:05	NULL	NULL
10_1683777741_0	10_1683777741	kamũkõʔẽ	sie legt etwas über etwas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-11 04:02:21	NULL	NULL
10_1683778683_0	10_1683778683	ekoʔee-ekoʔeʔe	sämtliche Teufel	NA	NA	NA	NA	NA	NA	NA	NA	§ 2d	NA	y	NA	10	2023-05-11 04:18:03	NULL	NULL
10_1683778683_1	10_1683778683	ekoʔeʔe iakapita	Dämon an der Flußmündung	NA	NA	NA	NA	NA	NA	NA	NA	H88:280 èkowèk ijakafita	NA	y	NA	10	2023-05-11 04:18:03	NULL	NULL
10_1683778683_2	10_1683778683	ekoʔeʔe ixoo ukue	Walddämon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-11 04:18:03	NULL	NULL
10_1683778683_3	10_1683778683	ekoʔeʔe ukaʔudara	Dorfdämon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-11 04:18:03	NULL	NULL
10_1683778683_4	10_1683778683	ekoʔeʔe iʔoki	Dämon an der Küste	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-11 04:18:03	NULL	NULL
10_1683778804_0	10_1683778804	kipakoéhe-koehe	hocken	kipakokoéhe	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-11 04:20:04	NULL	NULL
10_1683778804_1	10_1683778804	epahakokoehea	Hockensort	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-11 04:20:04	NULL	NULL
10_1684029426_0	10_1684029426	kipakõhãʔã:õ	auf etwas stoß en, antreffen	kipakõʔõh[õ]aʔa	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-14 01:57:06	NULL	NULL
10_1684029605_0	10_1684029605	kipakohe	(Männer mit Haumesser oder Speer) tanzen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	2023-05-14 02:00:05	NULL	NULL
10_1684204920_0	10_1684204920	kikohe	hobeln	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 02:42:00	NULL	NULL
10_1684204920_1	10_1684204920	hoo bukohe	hobelte berėits	kubohe	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 02:42:00	NULL	NULL
10_1684204920_10	10_1684204920	earohe	das Hobeln	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 02:42:00	NULL	NULL
