stem_id,example_id,example_form,example_form_comm_untokenised,example_form_comm_tokenised,ex_DE,ex_EN,ex_IDN,example_variant,ex_variant_comm_untokenised,ex_variant_comm_tokenised,ex_variant_DE,ex_variant_EN,ex_variant_IDN,example_dialect_variant,example_etymological_form,example_etymological_language_donor,example_loanword_form,example_loanword_language_donor,example_source_form,example_source_form_homonymID,ex_remark_DE,ex_remark_EN,ex_remark_IDN,ex_crossref_DE,ex_crossref_EN,ex_crossref_IDN,ex_concept,ex_variant_concept,ex_remark_concept,ex_crossref_concept
10_1683773149,10_1683773149_0,kikobu,kikobu,k i k o b u,"rösten , braten","roast , fry","panggang , goreng",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1683773886,10_1683773886_0,kikode,kikode,k i k o d e,auf der Schulter tragen,carry on the shoulder,membawa di bahu; memikul,kadode; karode; kabadode u-,kadode; karode; kabadode u-,k a d o d e ; # k a r o d e ; # k a b a d o d e # u -,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1683773886,10_1683773886_1,dakubode,dakubode,d a k u b o d e,sie tragen auf der Schulter,they carry on the shoulder,yang mereka bawa di bahu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1683773886,10_1683773886_2,ˀobukodeaˀa,'obukodea'a,' o b u k o d e a ' a,tragtǃ,carry! (pl),bawa! (jamak); pikul! (jamak),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1683773886,10_1683773886_3,kidikode,kidikode,k i d i k o d e,getragen werden,to be carried,untuk dibawa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1683773886,10_1683773886_4,eadode,eadode,e a d o d e,(noun) Tragen,carrying (noun),membawa (kata benda),ealole,ealole,e a l o l e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1683773886,10_1683773886_5,ekodea,ekodea,e k o d e a,Tragstange (Joch?),carrying rod (yoke?),tongkat/batang penopang (kuk?),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1683773886,10_1683773886_6,edikode,edikode,e d i k o d e,(noun) Getragene,carried (things) (noun),barang bawaan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1683773886,10_1683773886_7,eokode,eokode,e o k o d e,Tragemittel,means of carrying,sarana untuk membawa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1683775703,10_1683775703_0,kipakodíˀa:o,kipakodí'a:o,k i p a k o d í ' a:o,tauschen,to exchange,bertukar/menukar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1683776956,10_1683776956_0,kikodo,kikodo,k i k o d o,(ver)schlucken,to swallow,menelan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1683776956,10_1683776956_1,kadodo,kadodo,k a d o d o,etwas schlucken,swallow something,menelan sesuatu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1683776956,10_1683776956_2,hoo bukodo,hoo bukodo,h o o # b u k o d o,schluckte,swallowed,ditelan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
