stem_id	example_id	example_form	ex_DE	ex_EN	ex_IDN	example_variant	ex_variant_DE	ex_variant_EN	ex_variant_IDN	example_dialect_variant	example_etymological_form	example_etymological_language_donor	example_loanword_form	example_loanword_language_donor	example_source_form	example_source_form_homonymID	ex_remark_DE	ex_remark_EN	ex_remark_IDN	ex_crossref_DE	ex_crossref_EN	ex_crossref_IDN	ex_concept	ex_variant_concept	ex_remark_concept	ex_crossref_concept
10_1683773149	10_1683773149_0	kikobu	rösten , braten	roast , fry	panggang , goreng	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1683773886	10_1683773886_0	kikode	auf der Schulter tragen	carry on the shoulder	membawa di bahu; memikul	kadode; karode; kabadode u-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1683773886	10_1683773886_1	dakubode	sie tragen auf der Schulter	they carry on the shoulder	yang mereka bawa di bahu	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1683773886	10_1683773886_2	ˀobukodeaˀa	tragtǃ	carry! (pl)	bawa! (jamak); pikul! (jamak)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1683773886	10_1683773886_3	kidikode	getragen werden	to be carried	untuk dibawa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1683773886	10_1683773886_4	eadode	(noun) Tragen	carrying (noun)	membawa (kata benda)	ealole	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1683773886	10_1683773886_5	ekodea	Tragstange (Joch?)	carrying rod (yoke?)	tongkat/batang penopang (kuk?)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1683773886	10_1683773886_6	edikode	(noun) Getragene	carried (things) (noun)	barang bawaan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1683773886	10_1683773886_7	eokode	Tragemittel	means of carrying	sarana untuk membawa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1683775703	10_1683775703_0	kipakodíˀa:o	tauschen	to exchange	bertukar/menukar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1683776956	10_1683776956_0	kikodo	(ver)schlucken	to swallow	menelan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1683776956	10_1683776956_1	kadodo	etwas schlucken	swallow something	menelan sesuatu	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1683776956	10_1683776956_2	hoo bukodo	schluckte	swallowed	ditelan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1683776956	10_1683776956_3	ˀuadodo (iˀioo) uˀubéˀe	ich schlucke Arznei	I swallow medicine	Aku minum (lit. menelan) obat	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1683776956	10_1683776956_4	kabadodo	etwas verschlucken	to swallow something	menelan sesuatu	kakubdo; kabukodo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
