ID,stem_id,kms_Alphabet,kms_page,kms_entry_no,stem_form,stem_form_comm_untokenised,stem_homonymID,stem_DE,stem_EN,stem_IDN,stem_formVarian,stem_formVarian_untokenised,stem_formVarian_tokenised,stem_variant_DE,stem_variant_EN,stem_variant_IDN,stem_dialectVariant,stem_etymological_form,stem_etym_form_German,stem_etymological_language_donor,stem_source_form,stem_source_form_homonymID,stem_remark_DE,stem_remark_EN,stem_remark_IDN,stem_crossref_DE,stem_crossref_EN,stem_crossref_IDN,stem_form_comm_tokenised,example_id,example_form,example_form_comm_untokenised,example_form_comm_tokenised,ex_DE,ex_EN,ex_IDN,example_variant,ex_variant_comm_untokenised,ex_variant_comm_tokenised,ex_variant_DE,ex_variant_EN,ex_variant_IDN,example_dialect_variant,example_etymological_form,example_etymological_language_donor,example_loanword_form,example_loanword_language_donor,example_source_form,example_source_form_homonymID,ex_remark_DE,ex_remark_EN,ex_remark_IDN,ex_crossref_DE,ex_crossref_EN,ex_crossref_IDN,ex_concept,ex_variant_concept,ex_remark_concept,ex_crossref_concept,stem_loan_form,stem_loan_lang
1,11_1685428252,a,1,1,a-,a-,1,leitet Objektssätze ein,introduces object sentences,memperkenalkan kalimat objek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,§ 21c,§ 21c,§ 21c,a -,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,11_1685428330,a,1,2,a-,a-,2,"wenn, falls; denn, weil","if , if ; for , because","jika , jika ; untuk , karena",ápe a-,ápe a-,á p e # a -,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"§§ 15e, 24c","§§ 15e , 24c","§§ 15e, 24c",a -,11_1685428330_0,ahoo,ahoo,a h o o,nachdem,after,setelah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,temporal,NA,NA,NA,NA,NA
3,11_1685428509,a,1,3,[ˀ]a-,[']a-,3,"Präfix, das Wortstämme erweitert",Prefix that expands word stems,Awalan yang memperluas batang kata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"§§ 39b, 41b und g","§§ 39b , 41b and g","§§ 39b, 41b dan g",[ ' ] a -,11_1685428509_0,adua; ˀakodu; ˀaopa; adoho; ahiu; aici; anə̃kĩ; anõkĩ; ˀapia; apuho,adua; 'akodu; 'aopa; adoho; ahiu; aici; anu̇̃kĩ; anõkĩ; 'apia; apuho,a d u a ; # ' a k o d u ; # ' a o p a ; # a d o h o ; # a h i u ; # a i c i ; # a n u̇ ̃ k ĩ ; # a n õ k ĩ ; # ' a p i a ; # a p u h o,usw,etc,dll.,NA,NA,NA,NA,NA,NA,NA,NA,"""""",NA,"""""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,11_1685429142,a,1,4,-[C]a,-[C]a,NA,kennzeichnet Zukunft bei Verben,indicates future in verbs,menunjukkan masa depan dalam kata kerja,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"§§ 29b, 51a","§§ 29b , 51a","§§ 29b , 51a",- [ C ] a,11_1685429142_0,kipəá·ha,kipu̇á·ha,k i p u̇ á · h a,werde sehen,will see,akan melihat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,perception,NA,NA,NA,NA,NA
4,11_1685429142,a,1,4,-[C]a,-[C]a,NA,kennzeichnet Zukunft bei Verben,indicates future in verbs,menunjukkan masa depan dalam kata kerja,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"§§ 29b, 51a","§§ 29b , 51a","§§ 29b , 51a",- [ C ] a,11_1685429142_1,kipudu·a,kipudu·a,k i p u d u · a,werde töten,will kill,akan membunuh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,killing,NA,NA,NA,NA,NA
4,11_1685429142,a,1,4,-[C]a,-[C]a,NA,kennzeichnet Zukunft bei Verben,indicates future in verbs,menunjukkan masa depan dalam kata kerja,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"§§ 29b, 51a","§§ 29b , 51a","§§ 29b , 51a",- [ C ] a,11_1685429142_2,kidipudu·a,kidipudu·a,k i d i p u d u · a,wird getötet werden,will be killed,akan dibunuh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,killing,NA,NA,NA,NA,NA
4,11_1685429142,a,1,4,-[C]a,-[C]a,NA,kennzeichnet Zukunft bei Verben,indicates future in verbs,menunjukkan masa depan dalam kata kerja,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"§§ 29b, 51a","§§ 29b , 51a","§§ 29b , 51a",- [ C ] a,11_1685429142_3,ˀua hoo bupudu·a kia,'ua hoo bupudu·a kia,' u a # h o o # b u p u d u · a # k i a,"ich bin bereit , ihn zu töten",I'm ready/prepared to kill him,Saya siap/siap untuk membunuhnya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,killing,NA,NA,NA,NA,NA
5,11_1685429613,a,1,5,aa,aa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a a,11_1685429613_0,kaa,kaa,k a a,fortgehen,to go away,pergi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,motion,NA,NA,NA,NA,NA
5,11_1685429613,a,1,5,aa,aa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a a,11_1685429613_1,hoo mãã,hoo mãã,h o o # m ã ã,ist gegangen,has gone,telah pergi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,motion,NA,NA,NA,NA,NA
5,11_1685429613,a,1,5,aa,aa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a a,11_1685429613_2,kixii amãã,kixii amãã,k i x i i # a m ã ã,wieder gehen,to go again,pergi lagi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,motion,NA,NA,NA,NA,NA
5,11_1685429613,a,1,5,aa,aa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a a,11_1685429613_3,eaa,eaa,e a a,(noun) Gehen,going/walking (noun),pergi/berjalan (kata benda),ehaa ; eahaa,ehaa ; eahaa,e h a a # ; # e a h a a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,motion,NA,NA,NA,NA,NA
6,11_1685429642,a,1,6,ˀaa,'aa,1,Halloǃ Heǃ (Anruf),Helloǃ Heǃ (call),Haloǃ Heiǃ (panggilan),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,' a a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,11_1685430453,a,1,7,ˀaa,'aa,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,' a a,11_1685430453_0,eˀaa,e'aa,e ' a a,"Knochen , Gerüst","bone(s) , framework","tulang, perancah",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,body-part,NA,NA,NA,NA,NA
7,11_1685430453,a,1,7,ˀaa,'aa,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,' a a,11_1685430453_1,eˀaa uahao,e'aa uahao,e ' a a # u a h a o,Schläfe,Temple (body part),Pelipis (bagian tubuh),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,body-part; polysemyǃ,NA,NA,NA,NA,NA
7,11_1685430453,a,1,7,ˀaa,'aa,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,' a a,11_1685430453_10,eˀaa ukabake,e'aa ukabake,e ' a a # u k a b a k e,"Gerippe , Skelett",skeleton,kerangka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,body-part,NA,NA,NA,NA,NA
7,11_1685430453,a,1,7,ˀaa,'aa,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,' a a,11_1685430453_11,eˀaa ukaraha,e'aa ukaraha,e ' a a # u k a r a h a,Knochen,Bone (sg/pl),tulang (tunggal/jamak),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,body-part,NA,NA,NA,NA,NA
7,11_1685430453,a,1,7,ˀaa,'aa,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,' a a,11_1685430453_12,eˀaa ukĩˀĩ,e'aa ukĩ'ĩ,e ' a a # u k ĩ ' ĩ,Unterkiefer,Lower jaw,Rahang bawah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,body-part,NA,NA,NA,NA,NA
7,11_1685430453,a,1,7,ˀaa,'aa,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,' a a,11_1685430453_13,eˀaa ukũkã,e'aa ukũkã,e ' a a # u k ũ k ã,"Rückgrat , Wirbelsäule","Spine , vertebral column","Tulang belakang , kolom tulang belakang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,body-part,NA,NA,NA,NA,NA
7,11_1685430453,a,1,7,ˀaa,'aa,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,' a a,11_1685430453_14,eˀaa upoo,e'aa upoo,e ' a a # u p o o,Kokosnußschale,Coconut shell,Tempurung kelapa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ML tempurung,ML tempurung,ML tempurung,NA,NA,NA,body-part,NA,NA,NA,NA,NA
7,11_1685430453,a,1,7,ˀaa,'aa,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,' a a,11_1685430453_15,eˀaa uudu [ukabake],e'aa uudu [ukabake],e ' a a # u u d u # [ u k a b a k e ],(Toten-)Schädel,(Dead) skull,tengkorak (Mati),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,body-part,NA,NA,NA,NA,NA
7,11_1685430453,a,1,7,ˀaa,'aa,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,' a a,11_1685430453_16,eˀaa uuku,e'aa uuku,e ' a a # u u k u,Rippen (knochen),Ribs (bones),tulang rusuk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,body-part,NA,NA,NA,NA,NA
7,11_1685430453,a,1,7,ˀaa,'aa,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,' a a,11_1685430453_2,eˀaa uˀa:iyo,e'aa u'a:iyo,e ' a a # u ' a:i y o,(Fisch-) Gräte,(Fish) bone,tulang (ikan),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,body-part,NA,NA,NA,NA,NA
7,11_1685430453,a,1,7,ˀaa,'aa,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,' a a,11_1685430453_3,eˀaa uˀakaruba,e'aa u'akaruba,e ' a a # u ' a k a r u b a,Türpfosten,Doorpost,Tiang pintu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,body-part,NA,NA,NA,NA,NA
7,11_1685430453,a,1,7,ˀaa,'aa,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,' a a,11_1685430453_4,eˀaa uãmãhã,e'aa uãmãhã,e ' a a # u ã m ã h ã,Brustbein,Breastbone,Tulang dada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,body-part,NA,NA,NA,NA,NA
7,11_1685430453,a,1,7,ˀaa,'aa,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,' a a,11_1685430453_5,eˀaa uˀapo,e'aa u'apo,e ' a a # u ' a p o,Armknochen,Arm bone,Tulang lengan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,body-part,NA,NA,NA,NA,NA
7,11_1685430453,a,1,7,ˀaa,'aa,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,' a a,11_1685430453_6,eˀaa udahá:uhu,e'aa udahá:uhu,e ' a a # u d a h á:u h u,Himmel,sky,langit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,space,NA,NA,NA,NA,NA
7,11_1685430453,a,1,7,ˀaa,'aa,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,' a a,11_1685430453_7,eˀaa udopo itebe,e'aa udopo itebe,e ' a a # u d o p o # i t e b e,Himmel,sky,langit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,space,NA,NA,NA,NA,NA
7,11_1685430453,a,1,7,ˀaa,'aa,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,' a a,11_1685430453_8,eˀaa uiˀo,e'aa ui'o,e ' a a # u i ' o,Steiß,Rump,bagian buntuk/belakang,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,11_1685430453,a,1,7,ˀaa,'aa,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,' a a,11_1685430453_9,eˀaa ukaˀa,e'aa uka'a,e ' a a # u k a ' a,"Gebiß , Zähne","Denture , Teeth","Gigi tiruan , Gigi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,11_1685430716,a,2,1,aˀa,a'a,1,gehǃ,goǃ,pergiǃ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a ' a,11_1685430716_0,kaˀa·nãˀã,ka'a·nã'ã,k a ' a · n ã ' ã,laßt uns gehenǃ,Let's goǃ,Mari kita pergi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,11_1685430762,a,2,2,éaˀa,ea'a,2,jene(r/s) - korrelat zur 3.P,those - correlative to the 3rd Person Singular or Plural,mereka - berhubungan dengan Orang Ketiga Tunggal atau Jamak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,e a ' a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
