stem_id	kms_Alphabet	kms_page	kms_entry_no	stem_form	stem_homonymID	stem_DE	stem_EN	stem_IDN	stem_formVarian	stem_variant_DE	stem_variant_EN	stem_variant_IDN	stem_dialectVariant	stem_etymological_form	stem_etym_form_German	stem_etymological_language_donor	stem_source_form	stem_source_form_homonymID	stem_remark_DE	stem_remark_EN	stem_remark_IDN	stem_crossref_DE	stem_crossref_EN	stem_crossref_IDN	example_id	example_form	ex_DE	ex_EN	ex_IDN	example_variant	ex_variant_DE	ex_variant_EN	ex_variant_IDN	example_dialect_variant	example_etymological_form	example_etymological_language_donor	example_loanword_form	example_loanword_language_donor	example_source_form	example_source_form_homonymID	ex_remark_DE	ex_remark_EN	ex_remark_IDN	ex_crossref_DE	ex_crossref_EN	ex_crossref_IDN	ex_concept	ex_variant_concept	ex_remark_concept	ex_crossref_concept	stem_loan_form	stem_loan_lang
11_1685428252	a	1	1	a-	1	leitet Objektssätze ein	introduces object sentences	memperkenalkan kalimat objek	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	§ 21c	§ 21c	§ 21c	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1685428330	a	1	2	a-	2	wenn, falls; denn, weil	if , if ; for , because	jika , jika ; untuk , karena	ápe a-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	§§ 15e, 24c	§§ 15e , 24c	§§ 15e, 24c	11_1685428330_0	ahoo	nachdem	after	setelah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	temporal	NA	NA	NA	NA	NA
11_1685428509	a	1	3	[ˀ]a-	3	Präfix, das Wortstämme erweitert	Prefix that expands word stems	Awalan yang memperluas batang kata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	§§ 39b, 41b und g	§§ 39b , 41b and g	§§ 39b, 41b dan g	11_1685428509_0	adua; ˀakodu; ˀaopa; adoho; ahiu; aici; anə̃kĩ; anõkĩ; ˀapia; apuho	usw	etc	dll.	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1685429142	a	1	4	-[C]a	NA	kennzeichnet Zukunft bei Verben	indicates future in verbs	menunjukkan masa depan dalam kata kerja	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	§§ 29b, 51a	§§ 29b , 51a	§§ 29b , 51a	11_1685429142_0	kipəá·ha	werde sehen	will see	akan melihat	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	perception	NA	NA	NA	NA	NA
11_1685429142	a	1	4	-[C]a	NA	kennzeichnet Zukunft bei Verben	indicates future in verbs	menunjukkan masa depan dalam kata kerja	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	§§ 29b, 51a	§§ 29b , 51a	§§ 29b , 51a	11_1685429142_1	kipudu·a	werde töten	will kill	akan membunuh	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	killing	NA	NA	NA	NA	NA
11_1685429142	a	1	4	-[C]a	NA	kennzeichnet Zukunft bei Verben	indicates future in verbs	menunjukkan masa depan dalam kata kerja	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	§§ 29b, 51a	§§ 29b , 51a	§§ 29b , 51a	11_1685429142_2	kidipudu·a	wird getötet werden	will be killed	akan dibunuh	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	killing	NA	NA	NA	NA	NA
11_1685429142	a	1	4	-[C]a	NA	kennzeichnet Zukunft bei Verben	indicates future in verbs	menunjukkan masa depan dalam kata kerja	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	§§ 29b, 51a	§§ 29b , 51a	§§ 29b , 51a	11_1685429142_3	ˀua hoo bupudu·a kia	ich bin bereit , ihn zu töten	I'm ready/prepared to kill him	Saya siap/siap untuk membunuhnya	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	killing	NA	NA	NA	NA	NA
11_1685429613	a	1	5	aa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11_1685429613_0	kaa	fortgehen	to go away	pergi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	motion	NA	NA	NA	NA	NA
11_1685429613	a	1	5	aa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11_1685429613_1	hoo mãã	ist gegangen	has gone	telah pergi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	motion	NA	NA	NA	NA	NA
11_1685429613	a	1	5	aa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11_1685429613_2	kixii amãã	wieder gehen	to go again	pergi lagi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	motion	NA	NA	NA	NA	NA
11_1685429613	a	1	5	aa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11_1685429613_3	eaa	(noun) Gehen	going/walking (noun)	pergi/berjalan (kata benda)	ehaa ; eahaa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	motion	NA	NA	NA	NA	NA
11_1685429642	a	1	6	ˀaa	1	Halloǃ Heǃ (Anruf)	Helloǃ Heǃ (call)	Haloǃ Heiǃ (panggilan)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1685430453	a	1	7	ˀaa	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11_1685430453_0	eˀaa	Knochen , Gerüst	bone(s) , framework	tulang, perancah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	body-part	NA	NA	NA	NA	NA
11_1685430453	a	1	7	ˀaa	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11_1685430453_1	eˀaa uahao	Schläfe	Temple (body part)	Pelipis (bagian tubuh)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	body-part; polysemyǃ	NA	NA	NA	NA	NA
