ID,stem_id,kms_Alphabet,kms_page,kms_entry_no,stem_form,stem_form_comm_untokenised,stem_homonymID,stem_DE,stem_EN,stem_IDN,stem_formVarian,stem_formVarian_untokenised,stem_formVarian_tokenised,stem_variant_DE,stem_variant_EN,stem_variant_IDN,stem_dialectVariant,stem_etymological_form,stem_etym_form_German,stem_etymological_language_donor,stem_loanword_form,stem_loanword_language_donor,stem_source_form,stem_source_form_homonymID,stem_remark_DE,stem_remark_EN,stem_remark_IDN,stem_crossref_DE,stem_crossref_EN,stem_crossref_IDN,stem_form_comm_tokenised
1,11_1685428252,a,1,1,a-,a-,1,leitet Objektssätze ein,introduces object sentences,memperkenalkan kalimat objek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,§ 21c,§ 21c,§ 21c,a -
2,11_1685428330,a,1,2,a-,a-,2,"wenn, falls; denn, weil","if , if ; for , because","jika , jika ; untuk , karena",ápe a-,ápe a-,á p e # a -,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,"§§ 15e, 24c","§§ 15e , 24c","§§ 15e, 24c",a -
3,11_1685428509,a,1,3,[ˀ]a-,[']a-,3,"Präfix, das Wortstämme erweitert",Prefix that expands word stems,Awalan yang memperluas batang kata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,"§§ 39b, 41b und g","§§ 39b , 41b and g","§§ 39b, 41b dan g",[ ' ] a -
4,11_1685429142,a,1,4,-[C]a,-[C]a,NA,kennzeichnet Zukunft bei Verben,indicates future in verbs,menunjukkan masa depan dalam kata kerja,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,"§§ 29b, 51a","§§ 29b , 51a","§§ 29b , 51a",- [ C ] a
5,11_1685429613,a,1,5,aa,aa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,a a
6,11_1685429642,a,1,6,ˀaa,'aa,1,Halloǃ Heǃ (Anruf),Helloǃ Heǃ (call),Haloǃ Heiǃ (panggilan),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,' a a
7,11_1685430453,a,1,7,ˀaa,'aa,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,' a a
8,11_1685430716,a,2,1,aˀa,a'a,1,gehǃ,goǃ,pergiǃ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,a ' a
9,11_1685430762,a,2,2,éaˀa,ea'a,2,jene(r/s) - korrelat zur 3.P,those - correlative to the 3rd Person Singular or Plural,mereka - berhubungan dengan Orang Ketiga Tunggal atau Jamak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,e a ' a
10,11_1685430833,a,2,3,-aˀa,-a'a,1,kennzeichnet die komplexe Variation bei Verben,marks the complex variation in verbs,menandai variasi kompleks dalam kata kerja,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,"§§ 15k, 37, 55","§§ 15k , 37 , 55","§§ 15k , 37 , 55",- a ' a
11,11_1685430954,a,2,4,-aˀa,-a'a,2,"Suffix an Verbalstämmen, das die Aufforderung an die 2.Pl kennzeichnet",Suffix on verbal stems that marks the request to the 2nd Person Plural,Akhiran/sufiks pada kata kerja yang menandai permintaan kepada orang kedua jamak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,§ 15,§ 15,§ 15,- a ' a
12,11_1685431014,a,2,5,ˀaˀa,'a'a,1,NA,NA,NA,ˀaˀo ; ˀoˀo,'a'o ; 'o'o,' a ' o # ; # ' o ' o,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,' a ' a
13,11_1685431230,a,2,6,ˀaˀa,'a'a,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kaka,NA,10,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,' a ' a
14,11_1685431314,a,2,7,ˀaˀa,'a'a,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,' a ' a
15,11_1685431384,a,2,8,ˀaˀakəa,'a'aku̇a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,' a ' a k u̇ a
16,11_1685431703,a,2,9,ˀãˀãkõ,'ã'ãkõ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,ˀãkõ,NA,NA,NA,NA,NA,NA,NA,' ã ' ã k õ
