"caid";"modul";"user_id";"dateaccess";"dateacess_end";"ipaddress";"browser";"os"
"id";"kms_Alphabet";"kms_Stem";"kms_stem_homonymID";"kms_stem_remarks_optional";"kms_stem_variant";"kms_stem_dialect_variant";"kms_stem_source_form";"kms_sourceForm_homonymID";"kms_stem_etym_lang";"kms_stem_etym_form";"kms_stem_etym_German";"kms_stem_crossRef";"kms_stem_German";"kms_stem_English";"kms_stem_German_crossRef";"kms_stem_loanword_lang";"kms_stem_loanword_form";"kms_examples";"kms_examples_variant";"kms_examples_German";"kms_examples_German_crossRef";"kms_examples_English";"kms_example_etym_lang";"kms_example_etym_form";"kms_stem_page"
"1";"a";"b";;;;;;;;;;;;;;;;;;;;;;;"0"
"2";"aa";"bb";;;;;;;;;;;;;;;;;;;;;;;"0"
"sw_id";"sw_name"
"1";"AR (Arabic)"
"2";"BAR (Bare`e [Austronesian, Sulawesi])"
"3";"BI (Bahasa Indonesia)"
"4";"Bugi (Buginese [Austronesian, Sulawesi])"
"5";"MKB (Minangkabau [Austronesian, Sumatra])"
"6";"ML (Malay [now BI])"
"7";"Mtw (Mentawai [Austronesian])"
"9";"NL (Dutch)"
"10";"PAN (Proto-Austronesian)"
"11";"PMP (Proto-Malayo-Polynesian)"
"12";"POC (Proto-Oceanic)"
"13";"Sd (Sundanese [Austronesian, Java])"
"14";"Sich (Sichule [Austronesian, Sumatra])"
"15";"Sim (Simalur [Austronesian])"
"16";"SMtw (Sudmentawai [South Mentawai])"
"17";"UAN (Proto-Austronesian)"
"47";"PAN"
"50";"MKB "
"51";"MKB"
"52";"Nias"
"53";"SMtw"
"54";"NJV"
"stem_id";"kms_Alphabet";"kms_page";"kms_entry_no";"stem_form";"stem_GermanTranslation";"stem_homonymID";"stem_formVarian";"stem_GermanTranslationVariant";"stem_dialectVariant";"stem_etymological_form";"stem_etymological_language_donor";"stem_loanword_form";"stem_loanword_language_donor";"stem_source_form";"stem_source_form_homonymID";"stem_crossref";"stem_remark";"stem_complete";"create_by";"cerate_date";"update_by";"update_date";"used_time"
"10_1683772590";"K";"157";"1";"ekobaʔa";"Jagdspeer ";;;;;;;NULL;NULL;;;;"MOD�?243 ecoba�?, 172�? La lancia da caccia, varietà di quelle da guerra che descriverò, è piu grossa, il ferro è più solido, quasi sempre liscio o con tre uncinature como mostrano la fig.27 e la lettera D nella figura 47 (auf S.242). ...)";"y";"10";"2023-05-11 02:36:30";NULL;NULL;"00:00:56"
"10_1683772847";"K";"157";"2";"ekobaru�?ku";"Fischart";;;;;;;NULL;NULL;;;"H88�?278 kabaroekoe";"ML ikan tadjie²";"y";"10";"2023-05-11 02:40:47";NULL;NULL;"00:00:39"
"10_1683773019";"K";"157";"3";"ekobituu";"Schweiß";;;;;;;NULL;NULL;;;;;"y";"10";"2023-05-11 02:43:39";NULL;NULL;"00:00:44"
"10_1683773149";"K";"157";"4";"kobu";;;;;;;;NULL;NULL;;;;;"y";"10";"2023-05-11 02:45:49";NULL;NULL;"00:00:03"
"10_1683773886";"K";"157";"5";"kode";;;"kore";;;;;NULL;NULL;;;"vgl POC nsola";;"y";"10";"2023-05-11 02:58:06";NULL;NULL;"00:00:01"
"10_1683773971";"K";"157";"6";"ekodekode uaparaa";"Vorderseite des Oberschenkels";;;;;;;NULL;NULL;;;"G68";;"y";"10";"2023-05-11 02:59:31";NULL;NULL;"00:00:16"
"10_1683775703";"K";"157";"7";"kodi";;;;;;;;NULL;NULL;;;"s kedi, kuhedi";;"y";"10";"2023-05-11 03:28:23";NULL;NULL;"00:00:45"
"10_1683775900";"K";"157";"8";"kadi�?o";"überschatten";;;;;;;NULL;NULL;;;"s kudi�?o·o�?i; G43";;"y";"10";"2023-05-11 03:31:40";NULL;NULL;"00:00:00"
"10_1683776956";"K";"157";"9";"kodo";;;;;;"tələn";"11";NULL;NULL;;;;;"y";"10";"2023-05-11 03:49:16";NULL;NULL;"00:00:28"
"10_1683777395";"K";"158";"1";"kodo";;"2";;;;;;NULL;NULL;;;;;"y";"10";"2023-05-11 03:56:35";NULL;NULL;"00:00:14"
