Left	Grapheme	Right	Class	Replacement	Frequency	Codepoint	UnicodeName
	'			'	6	U+0027	APOSTROPHE
	-			-	102	U+002D	HYPHEN-MINUS
	̃			̃	1	U+0303	COMBINING TILDE
	ˀ			ˀ	416	U+02C0	MODIFIER LETTER GLOTTAL STOP
	 			 	344	U+0020	SPACE
	!			!	1	U+0021	EXCLAMATION MARK
	(			(	22	U+0028	LEFT PARENTHESIS
	)			)	22	U+0029	RIGHT PARENTHESIS
	,			,	32	U+002C	COMMA
	:			:	141	U+003A	COLON
	;			;	161	U+003B	SEMICOLON
	?			?	25	U+003F	QUESTION MARK
	[			[	23	U+005B	LEFT SQUARE BRACKET
	]			]	23	U+005D	RIGHT SQUARE BRACKET
	ǃ			ǃ	3	U+01C3	LATIN LETTER RETROFLEX CLICK
	+			+	5	U+002B	PLUS SIGN
	<			<	1	U+003C	LESS-THAN SIGN
	=			=	2	U+003D	EQUALS SIGN
	·			·	1	U+00B7	MIDDLE DOT
	¹			¹	12	U+00B9	SUPERSCRIPT ONE
	2			2	1	U+0032	DIGIT TWO
	²			²	14	U+00B2	SUPERSCRIPT TWO
	³			³	6	U+00B3	SUPERSCRIPT THREE
	⁴			⁴	1	U+2074	SUPERSCRIPT FOUR
	a			a	967	U+0061	LATIN SMALL LETTER A
	A			A	1	U+0041	LATIN CAPITAL LETTER A
	á			á	29	U+0061, U+0301	LATIN SMALL LETTER A, COMBINING ACUTE ACCENT
	ä			ä	1	U+0061, U+0308	LATIN SMALL LETTER A, COMBINING DIAERESIS
	ã			ã	191	U+0061, U+0303	LATIN SMALL LETTER A, COMBINING TILDE
	ã			ã	1	U+00E3	LATIN SMALL LETTER A WITH TILDE
	ã́			ã́	17	U+0061, U+0303, U+0301	LATIN SMALL LETTER A, COMBINING TILDE, COMBINING ACUTE ACCENT
	b			b	76	U+0062	LATIN SMALL LETTER B
	c			c	15	U+0063	LATIN SMALL LETTER C
	ɔ			ɔ	3	U+0254	LATIN SMALL LETTER OPEN O
	ɔ́			ɔ́	1	U+0254, U+0301	LATIN SMALL LETTER OPEN O, COMBINING ACUTE ACCENT
	ɔ̃			ɔ̃	1	U+0254, U+0303	LATIN SMALL LETTER OPEN O, COMBINING TILDE
	d			d	325	U+0064	LATIN SMALL LETTER D
	e			e	622	U+0065	LATIN SMALL LETTER E
	é			é	14	U+0065, U+0301	LATIN SMALL LETTER E, COMBINING ACUTE ACCENT
	ẽ			ẽ	54	U+0065, U+0303	LATIN SMALL LETTER E, COMBINING TILDE
	ẽ́			ẽ́	4	U+0065, U+0303, U+0301	LATIN SMALL LETTER E, COMBINING TILDE, COMBINING ACUTE ACCENT
	ə			ə	75	U+0259	LATIN SMALL LETTER SCHWA
	ə́			ə́	2	U+0259, U+0301	LATIN SMALL LETTER SCHWA, COMBINING ACUTE ACCENT
	ə̃			ə̃	17	U+0259, U+0303	LATIN SMALL LETTER SCHWA, COMBINING TILDE
	ə̃́			ə̃́	2	U+0259, U+0303, U+0301	LATIN SMALL LETTER SCHWA, COMBINING TILDE, COMBINING ACUTE ACCENT
	f			f	2	U+0066	LATIN SMALL LETTER F
	g			g	2	U+0067	LATIN SMALL LETTER G
	h			h	292	U+0068	LATIN SMALL LETTER H
	i			i	506	U+0069	LATIN SMALL LETTER I
	í			í	20	U+0069, U+0301	LATIN SMALL LETTER I, COMBINING ACUTE ACCENT
	ĩ			ĩ	103	U+0069, U+0303	LATIN SMALL LETTER I, COMBINING TILDE
	ĩ́			ĩ́	10	U+0069, U+0303, U+0301	LATIN SMALL LETTER I, COMBINING TILDE, COMBINING ACUTE ACCENT
	j			j	9	U+006A	LATIN SMALL LETTER J
	k			k	455	U+006B	LATIN SMALL LETTER K
	l			l	42	U+006C	LATIN SMALL LETTER L
	m			m	70	U+006D	LATIN SMALL LETTER M
	n			n	181	U+006E	LATIN SMALL LETTER N
	N			N	1	U+004E	LATIN CAPITAL LETTER N
	ñ			ñ	11	U+006E, U+0303	LATIN SMALL LETTER N, COMBINING TILDE
	o			o	462	U+006F	LATIN SMALL LETTER O
	O			O	3	U+004F	LATIN CAPITAL LETTER O
	ó			ó	13	U+006F, U+0301	LATIN SMALL LETTER O, COMBINING ACUTE ACCENT
	õ			õ	127	U+006F, U+0303	LATIN SMALL LETTER O, COMBINING TILDE
	Õ			Õ	1	U+004F, U+0303	LATIN CAPITAL LETTER O, COMBINING TILDE
	ṍ			ṍ	9	U+006F, U+0303, U+0301	LATIN SMALL LETTER O, COMBINING TILDE, COMBINING ACUTE ACCENT
	p			p	248	U+0070	LATIN SMALL LETTER P
	P			P	3	U+0050	LATIN CAPITAL LETTER P
	r			r	162	U+0072	LATIN SMALL LETTER R
	s			s	5	U+0073	LATIN SMALL LETTER S
	S			S	3	U+0053	LATIN CAPITAL LETTER S
	t			t	89	U+0074	LATIN SMALL LETTER T
	u			u	327	U+0075	LATIN SMALL LETTER U
	ú			ú	19	U+0075, U+0301	LATIN SMALL LETTER U, COMBINING ACUTE ACCENT
	ũ			ũ	105	U+0075, U+0303	LATIN SMALL LETTER U, COMBINING TILDE
	ṹ			ṹ	12	U+0075, U+0303, U+0301	LATIN SMALL LETTER U, COMBINING TILDE, COMBINING ACUTE ACCENT
	v			v	10	U+0076	LATIN SMALL LETTER V
	V			V	12	U+0056	LATIN CAPITAL LETTER V
	x			x	37	U+0078	LATIN SMALL LETTER X
	y			y	50	U+0079	LATIN SMALL LETTER Y
